concept,type,valeur

Marine-04,thl,[0|carac1] [020000000|v_avoir] profité [40#] cette halte [106#] remettre [12|m_bateau 4] [54#] état

Marine-04,thl,"[0|carac1], au moyen d’éclats [40#] granit [61#] d’étoupe, essaya d’obstruer l’entaille faite [4|m_paroi] [11|m_bateau 4]"

Marine-04,thl,"[0|caract1] [020000000|v_adorer 1] beaucoup les poissons volants ; c'était, [106#] [4#] dire, ses seuls amis [142#] l'océan"

Marine-04,thl,[0|caract1] [020000000|v_adorer 1] voir les tortues manger les méduses

Marine-04,thl,"[0|caract1] [020000000|v_adorer 1]< particulièrement> les tortues vertes< [61#] les tortues [1#] bec de faucon>, [133#] élégantes<, [133#] rapides><, [61#] d'un tel prix>"

Marine-04,thl,[0|caract1] [020000000|v_avoir] [0|m_bien] essayé d'entraîner sa main gauche< ; [76#] celle-ci s'était toujours conduite traîtreusement :> elle ne voulait jamais exécuter ses ordres
